id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_131050_3bdc7054,25C35289-93BC-2/54,2535289932595436,260.78,0.00
__export__.product_product_131083_ad8a56d7,25E27112-6BC-2/50,2527112625095032,260.78,0.00
__export__.product_product_131075_2ab35367,25E27112-6BC-2/48,2527112625094830,260.78,0.00
__export__.product_product_131058_9120d65e,25C35289-93BC-2/56,2535289932595638,260.78,0.00
__export__.product_product_131067_667c61b8,25E27112-6BC-2/46,2527112625094628,260.78,0.00
__export__.product_product_131091_221cdf64,25E27112-6BC-2/52,2527112625095234,260.78,0.00
__export__.product_product_131107_6e877431,25E27112-6BC-2/56,2527112625095638,260.78,0.00
__export__.product_product_131099_22ac4be1,25E27112-6BC-2/54,2527112625095436,260.78,0.00
__export__.product_product_131116_6851c64a,SH-NAP-WH-BG/XS,SHNAPWHBG/OXS,47.74,0.00
__export__.product_product_131121_f1528812,SH-NAP-WH-BG/S,SHNAPWHBG/OS,47.74,0.00
__export__.product_product_131126_d1cce360,SH-NAP-WH-BG/M,SHNAPWHBG/OM,47.74,0.00
__export__.product_product_131131_72524ac7,SH-NAP-WH-BG/L,SHNAPWHBG/OL,47.74,0.00
__export__.product_product_131132_c8e2042a,SH-NAP-WH-AZ/XS,SHNAPWHAZ/OXS,47.74,0.00
__export__.product_product_131137_f1751a5f,SH-NAP-WH-AZ/S,SHNAPWHAZ/OS,47.74,0.00
__export__.product_product_131142_84b00995,SH-NAP-WH-AZ/M,SHNAPWHAZ/OM,47.74,0.00
__export__.product_product_131147_3fc55d42,SH-NAP-WH-AZ/L,SHNAPWHAZ/OL,47.74,0.00
__export__.product_product_131148_abae9998,CAM-NAP-OV-AZ/S,CAMNAPOVAZ/OS,65.13,0.00
__export__.product_product_131151_a6b81c6f,CAM-NAP-OV-AZ/M,CAMNAPOVAZ/OM,65.13,0.00
__export__.product_product_131155_208b30a0,CAM-NAP-OV-BG/M,CAMNAPOVBG/OM,65.13,0.00
__export__.product_product_131152_1f810bc4,CAM-NAP-OV-BG/S,CAMNAPOVBG/OS,65.13,0.00
__export__.product_product_131168_a0dd4813,ZP-CASSINI-PS-PT-BLK/6,ZPCASSINIPSPTBLK/O6,152.09,0.00
__export__.product_product_131156_32e5bf21,ZP-CASSINI-PS-PT-BLK/5.5,ZPCASSINIPSPTBLK/O5.5,152.09,0.00
__export__.product_product_131340_363246cf,ZP-50224-CASSINI-VN/10,ZP-50224-CASSINI-VN/10,152.09,0.00
__export__.product_product_131353_8a240541,PT-25E27122-42/38,PT25E2712242/38,47.74,0.00
__export__.product_product_131349_008d1079,PT-25E27122-42/36,PT25E2712242/36,47.74,0.00
__export__.product_product_131345_1628a3f6,PT-25E27122-42/34,PT25E2712242/34,47.74,0.00
__export__.product_product_131426_2083f282,17605DC-14.5-S1,17605DC202591451,82.52,0.00
__export__.product_product_131454_b0ca4c8b,17605DC-15-S1,17605DC202591501,82.52,0.00
__export__.product_product_131457_bafa57a6,17605DC-15-S2,17605DC202591502,82.52,0.00
__export__.product_product_131482_4fa1ea24,17605DC-15.5-S1,17605DC202591551,82.52,0.00
__export__.product_product_131485_390a7bd4,17605DC-15.5-S2,17605DC202591552,82.52,0.00
__export__.product_product_131510_14bdd5aa,17605DC-16-S1,17605DC202591601,82.52,0.00
__export__.product_product_131513_2ff31ff4,17605DC-16-S2,17605DC202591602,82.52,0.00
__export__.product_product_131569_581dc9aa,17605DC-17-S2,17605DC202591702,82.52,0.00
__export__.product_product_131541_0c242301,17605DC-16.5-S2,17605DC202591652,82.52,0.00
__export__.product_product_131566_5d49b14a,17605DC-17-S1,17605DC202591701,82.52,0.00
__export__.product_product_131538_94c4dbd9,17605DC-16.5-S1,17605DC202591651,82.52,0.00
__export__.product_product_131863_220a7be8,18001-17.5-S2,18001202591752,56.43,0.00
__export__.product_product_131796_465651b8,18001-16.5-S1,18001202591651,56.43,0.00
__export__.product_product_132020_35c8bb7f,5010-16.5-S1,5010202591651,56.43,0.00
__export__.product_product_132023_1b51a2de,5010-16.5-S2,5010202591652,56.43,0.00
__export__.product_product_132048_41f52ed8,5010-17-S1,5010202591701,56.43,0.00
__export__.product_product_132084_6e2d2655,8020-1/M,8020120259M01,104.26,0.00
__export__.product_product_132187_53631944,11303-14.5-S1,11303202591451,56.43,0.00
__export__.product_product_132219_25c89f6c,11303-15-S1,11303202591501,56.43,0.00
__export__.product_product_132222_8ede74c5,11303-15-S2,11303202591502,56.43,0.00
__export__.product_product_132251_11364925,11303-15.5-S1,11303202591551,56.43,0.00
__export__.product_product_132254_39673cfb,11303-15.5-S2,11303202591552,56.43,0.00
__export__.product_product_132079_97f55d49,5010-17.5-S2,5010202591752,56.43,0.00
__export__.product_product_132051_722cd3ff,5010-17-S2,5010202591702,56.43,0.00
__export__.product_product_132283_90e27851,11303-16-S1,11303202591601,56.43,0.00
__export__.product_product_132286_40fbd84c,11303-16-S2,11303202591602,56.43,0.00
__export__.product_product_132315_5c830ef0,11303-16.5-S1,11303202591651,56.43,0.00
__export__.product_product_132318_2c6c8701,11303-16.5-S2,11303202591652,56.43,0.00
__export__.product_product_132347_456045e4,11303-17-S1,11303202591701,56.43,0.00
__export__.product_product_132350_8fa9a67b,11303-17-S2,11303202591702,56.43,0.00
__export__.product_product_132382_661bb9ba,11303-17.5-S2,11303202591752,56.43,0.00
__export__.product_product_132481_e915a8a4,11304-14.5-S1,11304202591451,56.43,0.00
__export__.product_product_132513_d3047609,11304-15-S1,11304202591501,56.43,0.00
__export__.product_product_132516_9a26d31a,11304-15-S2,11304202591502,56.43,0.00
__export__.product_product_132545_a3d1895d,11304-15.5-S1,11304202591551,56.43,0.00
__export__.product_product_132548_3901ce31,11304-15.5-S2,11304202591552,56.43,0.00
__export__.product_product_132577_97811fef,11304-16-S1,11304202591601,56.43,0.00
__export__.product_product_132580_f9d8479f,11304-16-S2,11304202591602,56.43,0.00
__export__.product_product_132609_282596a3,11304-16.5-S1,11304202591651,56.43,0.00
__export__.product_product_132612_bb81e1b7,11304-16.5-S2,11304202591652,56.43,0.00
__export__.product_product_132641_dadadfd0,11304-17-S1,11304202591701,56.43,0.00
__export__.product_product_132644_1cc0c824,11304-17-S2,11304202591702,56.43,0.00
__export__.product_product_132676_43a0b6cc,11304-17.5-S2,11304202591752,56.43,0.00
__export__.product_product_132080_d635bee9,8020-1/S,8020120259S01,104.26,0.00
