product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_p1338_21,Corbata P1338/21,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1338_36,Corbata P1338/36,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1650_1,Corbata P1650/1,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1650_3,Corbata P1650/3,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1657_10,Corbata P1657/10,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1657_20,Corbata P1657/20,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1657_3,Corbata P1657/3,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1657_6,Corbata P1657/6,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1657_8,Corbata P1657/8,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1661_1,Corbata P1661/1,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1661_2,Corbata P1661/2,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1661_20,Corbata P1661/20,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1661_4,Corbata P1661/4,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1661_6,Corbata P1661/6,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_13,Corbata P1666/P1662/13,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_14,Corbata P1666/P1662/14,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_18,Corbata P1666/P1662/18,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_2,Corbata P1666/P1662/2,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_30,Corbata P1666/P1662/30,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_4,Corbata P1666/P1662/4,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p1666_p1662_6,Corbata P1666/P1662/6,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p897_65,Corbata P897/65,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p897_77,Corbata P897/77,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p897_79,Corbata P897/79,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p897_81,Corbata P897/81,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_p897_82,Corbata P897/82,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_601,Corbata S299/601,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_603,Corbata S299/603,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_619,Corbata S299/619,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_620,Corbata S299/620,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_621,Corbata S299/621,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_626,Corbata S299/626,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_629,Corbata S299/629,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_642,Corbata S299/642,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_s299_647,Corbata S299/647,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_z_ch161_davi,Corbata Z-CH161-DAVI,4,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_z5911_oro,Corbata Z5911-ORO,4,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_ent_gloria_wht_consig,ENTERIZO GLORIA WHITE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_fld_freda_cof,FALDA FREDA COFFE-WHITE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_fa_rayon_mm,FALDA MINI MOCHA MOUSSE,9,Tallax2,"Talla: S,Talla: S"
__import__.product_template_fl_mediterraneo,FALDA P/DAMA MEDITERRENO,4,Tallax2,"Talla: L,Talla: L"
__import__.product_template_sl,H CORBATA P/CABALLERO NAVY LABRADO PUNTO,4,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_tl_x25_502a_a,H. BERMUDA P/HOMBRE TED LAPIDUS WHITE,16,Tallax2,"Talla: S,Talla: S"
