SKU,Nombre Odoo,Variant Values
22E2712-3A-BC-2/54,Terno 22E2712-3A-BC-2,Talla: 54
22E2712-3A-BC-2/58,Terno 22E2712-3A-BC-2,Talla: 58
22E2712-3BC-2/46,Terno 22E2712-3BC-2,Talla: 46
22E2712-3BC-2/48,Terno 22E2712-3BC-2,Talla: 48
22E2712-3BC-2/50,Terno 22E2712-3BC-2,Talla: 50
22E2712-3BC-2/52,Terno 22E2712-3BC-2,Talla: 52
22E2712-3BC-2/54,Terno 22E2712-3BC-2,Talla: 54
22E2712-3BC-2/56,Terno 22E2712-3BC-2,Talla: 56
22E2712-6BC-2/50,Terno 22E2712-6BC-2,Talla: 50
22E2712-6BC-2/52,Terno 22E2712-6BC-2,Talla: 52
22E2712-6BC-2/54,Terno 22E2712-6BC-2,Talla: 54
22E2712-6BC-2/58,Terno 22E2712-6BC-2,Talla: 58
22E2712-9BC-2/46,Terno 22E2712-9BC-2,Talla: 46
22E2712-9BC-2/48,Terno 22E2712-9BC-2,Talla: 48
22E2712-9BC-2/50,Terno 22E2712-9BC-2,Talla: 50
22E2712-9BC-2/52,Terno 22E2712-9BC-2,Talla: 52
22E2712-9BC-2/54,Terno 22E2712-9BC-2,Talla: 54
22E2712-9BC-2/58,Terno 22E2712-9BC-2,Talla: 58
22E2712-RED/46,Leva 22E2712-RED,Talla: 46
22E2712-RED/48,Leva 22E2712-RED,Talla: 48
22E2712-RED/50,Leva 22E2712-RED,Talla: 50
22E2712-RED/52,Leva 22E2712-RED,Talla: 52
22E2712-RED/60,Leva 22E2712-RED,Talla: 60
22E2731-8BC-2/50,Terno 22E2731-8BC-2,Talla: 50
22E2731-8BC-2/52,Terno 22E2731-8BC-2,Talla: 52
22E2731-8BC-2/54,Terno 22E2731-8BC-2,Talla: 54
22E2731-8BC-2/56,Terno 22E2731-8BC-2,Talla: 56
23241-FUC/M,M. BLUSA P/DAMA FUCSIA,Talla: M
23241-FUC/S,M. BLUSA P/DAMA FUCSIA,Talla: S
23A0402-1/46,Leva 23A0402-1,Talla: 46
23A0402-1/48,Leva 23A0402-1,Talla: 48
23A0402-1/50,Leva 23A0402-1,Talla: 50
23A0402-1/56,Leva 23A0402-1,Talla: 56
23A0402-1/58,Leva 23A0402-1,Talla: 58
23A0402-1/60,Leva 23A0402-1,Talla: 60
23A0402-2/46,Leva 23A0402-2,Talla: 46
23A0402-2/48,Leva 23A0402-2,Talla: 48
23A0402-2/50,Leva 23A0402-2,Talla: 50
23A0402-2/52,Leva 23A0402-2,Talla: 52
23A0402-2/56,Leva 23A0402-2,Talla: 56
23A0402-2/60,Leva 23A0402-2,Talla: 60
23A0402-5/46,Leva 23A0402-5,Talla: 46
23A0402-5/48,Leva 23A0402-5,Talla: 48
23A0402-5/50,Leva 23A0402-5,Talla: 50
23A0402-5/54,Leva 23A0402-5,Talla: 54
23A0402-5/56,Leva 23A0402-5,Talla: 56
23A1516-6BC-2/46,Terno 23A1516-6BC-2,Talla: 46
23A1516-6BC-2/48,Terno 23A1516-6BC-2,Talla: 48
23A1516-6BC-2/50,Terno 23A1516-6BC-2,Talla: 50
23A1516-6BC-2/52,Terno 23A1516-6BC-2,Talla: 52
23A1516-6BC-2/54,Terno 23A1516-6BC-2,Talla: 54
23A1516-6BC-2/56,Terno 23A1516-6BC-2,Talla: 56
23A1516-6BC-2/58,Terno 23A1516-6BC-2,Talla: 58
23A1516-6BC-2/60,Terno 23A1516-6BC-2,Talla: 60
23A1516-6BC-2/62,Terno 23A1516-6BC-2,Talla: 62
23A1516-6BC-2/64,Terno 23A1516-6BC-2,Talla: 64
23A1516-6BC-2/66,Terno 23A1516-6BC-2,Talla: 66
23A1516-6BC-2/70,Terno 23A1516-6BC-2,Talla: 70
23A29607-32BC-2/46,Terno 23A29607-32BC-2,Talla: 46
23A29607-32BC-2/50,Terno 23A29607-32BC-2,Talla: 50
23A29607-32BC-2/54,Terno 23A29607-32BC-2,Talla: 54
23A29607-32BC-2/56,Terno 23A29607-32BC-2,Talla: 56
23A29607-32BC-2/58,Terno 23A29607-32BC-2,Talla: 58
23A700112-12BC-2/46,Terno 23A700112-12BC-2,Talla: 46
23A700112-12BC-2/48,Terno 23A700112-12BC-2,Talla: 48
23A700112-12BC-2/50,Terno 23A700112-12BC-2,Talla: 50
23A700112-12BC-2/52,Terno 23A700112-12BC-2,Talla: 52
23A700112-12BC-2/54,Terno 23A700112-12BC-2,Talla: 54
23A700112-12BC-2/58,Terno 23A700112-12BC-2,Talla: 58
23B11210-100BC-2/46,Terno 23B11210-100BC-2,Talla: 46
23B11210-100BC-2/48,Terno 23B11210-100BC-2,Talla: 48
23B11210-100BC-2/50,Terno 23B11210-100BC-2,Talla: 50
23B11210-100BC-2/52,Terno 23B11210-100BC-2,Talla: 52
23B11210-100BC-2/54,Terno 23B11210-100BC-2,Talla: 54
23B11210-100BC-2/56,Terno 23B11210-100BC-2,Talla: 56
23C25168-220BC-2/54,Terno 23C25168-220BC-2,Talla: 54
23C29386-86BC-2/62,Terno 23C29386-86BC-2,Talla: 62
23C29386-86BC-2/64,Terno 23C29386-86BC-2,Talla: 64
23C29386-86BC-2/68,Terno 23C29386-86BC-2,Talla: 68
23C29386-86BC-2/70,Terno 23C29386-86BC-2,Talla: 70
23E2780-N-BC-2/46,Terno 23E2780-N-BC-2,Talla: 46
23E2780-N-BC-2/54,Terno 23E2780-N-BC-2,Talla: 54
23E2780-N-BC-2/58,Terno 23E2780-N-BC-2,Talla: 58
23E312010-1BC-2/48,Terno 23E312010-1BC-2,Talla: 48
23E312010-1BC-2/50,Terno 23E312010-1BC-2,Talla: 50
23E312010-1BC-2/52,Terno 23E312010-1BC-2,Talla: 52
23E312010-1BC-2/54,Terno 23E312010-1BC-2,Talla: 54
23E312010-1BC-2/56,Terno 23E312010-1BC-2,Talla: 56
23E312010-1BC-2/58,Terno 23E312010-1BC-2,Talla: 58
23E312010-3BC-2/48,Terno 23E312010-3BC-2,Talla: 48
23E312010-3BC-2/50,Terno 23E312010-3BC-2,Talla: 50
23E312010-3BC-2/52,Terno 23E312010-3BC-2,Talla: 52
23E312010-3BC-2/54,Terno 23E312010-3BC-2,Talla: 54
23E312010-3BC-2/58,Terno 23E312010-3BC-2,Talla: 58
23E312010-4BC-2/46,Terno 23E312010-4BC-2,Talla: 46
23E312010-4BC-2/54,Terno 23E312010-4BC-2,Talla: 54
23E312010-8BC-2/46,Terno 23E312010-8BC-2,Talla: 46
23E312010-8BC-2/50,Terno 23E312010-8BC-2,Talla: 50
23E312010-8BC-2/52,Terno 23E312010-8BC-2,Talla: 52
23E312010-8BC-2/54,Terno 23E312010-8BC-2,Talla: 54
23E312010-8BC-2/58,Terno 23E312010-8BC-2,Talla: 58
23E3705-25BC-2/54,Terno 23E3705-25BC-2,Talla: 54
23E5296-4BC-2/46,Terno 23E5296-4BC-2,Talla: 46
23E5296-4BC-2/52,Terno 23E5296-4BC-2,Talla: 52
23E5296-4BC-2/54,Terno 23E5296-4BC-2,Talla: 54
