sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
23E4246-16/58,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,58,,,Bruno Cassini,Gris,23E424616202558,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-16/60,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,60,,,Bruno Cassini,Gris,23E424616202560,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
GEO1982-1/60,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,60,,,Bruno Cassini,Azul,G19820120251260,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
23E4246-16/56,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,56,,,Bruno Cassini,Gris,23E424616202556,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
GEO1982-4/52,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,52,,,Bruno Cassini,Verde,G19820420251252,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
GEO1982-1/58,H. LEVA P/CABALLERO BRUNO CASSINI AZUL,Leva GEO1982-1,Ropa / Hombres / Levas,58,,,Bruno Cassini,Azul,G19820120251258,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
HD19152-23/52,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,52,,,Bruno Cassini,,HD1915223202552,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
HD19152-23/54,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,54,,,Bruno Cassini,,HD1915223202554,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
HD19152-23/50,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,50,,,Bruno Cassini,,HD1915223202550,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
HD19152-23/48,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,48,,,Bruno Cassini,,HD1915223202548,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
