External ID,Name,Internal Reference,Barcode,available_in_pos,record_type,Variant Values
product_template_caj_pinz,CAJA ACRILICA PARA PINZAS ACCESORIOS,CAJ-PINZ,CAJ-PINZ,True,simple_product,
product_template_fb_sam,SAMPLE FABRIC SET,FB-SAM,FB-SAM,False,simple_product,
product_template_jcb_1602_pi,M. CINTURONES P/DAMA PINK,JCB-1602-PI,JCB-1602-PI,True,simple_product,
product_template_jcb_1602_ol,M. CINTURONES P/DAMA OLIVE,JCB-1602-OL,JCB-1602-OL,True,simple_product,
product_template_jcb_1339_pi,M. CINTURONES P/DAMA PINK,JCB-1339-PI,JCB-1339-PI,True,simple_product,
product_template_jcb_1339_mi,M. CINTURONES P/DAMA MINT,JCB-1339-MI,JCB-1339-MI,True,simple_product,
product_template_3iw_17301_whd,M. CINTURONES P/DAMA WHDBLLAV,3IW-17301-WHD,3IW-17301-WHD,True,simple_product,
product_template_3iw_17301_ruc,M. CINTURONES P/DAMA RUCAMFOREST,3IW-17301-RUC,3IW-17301-RUC,True,simple_product,
product_template_jcb_1582_ivy,M. CINTURONES P/DAMA IVY,JCB-1582-IVY,JCB-1582-IVY,True,simple_product,
product_template_jcb_1602_tp,M. CINTURONES P/DAMA TAUPE,JCB-1602-TP,JCB-1602-TP,True,simple_product,
product_template_jcb_1582_mi,M. CINTURONES P/DAMA MINT,JCB-1582-MI,JCB-1582-MI,True,simple_product,
product_template_jcb_1109_ol,M. CINTURONES P/DAMA OLIVE,JCB-1109-OL,JCB-1109-OL,True,simple_product,
product_template_3iw_17802wgo_bkwtcog,M. CINTURONES P/DAMA BKWTCOG,3IW-17802WGO-BKWTCOG,3IW-17802WGO-BKWTCOG,True,simple_product,
product_template_3iw_17201wgo_bktpmus,M. CINTURONES P/DAMA BKTPMUS,3IW-17201WGO-BKTPMUS,3IW-17201WGO-BKTPMUS,True,simple_product,
product_template_jcb_1109_ca,M. CINTURONES P/DAMA CAMEL,JCB-1109-CA,JCB-1109-CA,True,simple_product,
product_template_iw_33111_co,Corbatín IW-33111,IW-33111-CO,IW-33111-CO,True,simple_product,
product_template_iw_33111_hu,M. CINTURONES P/DAMA HUNTER,IW-33111-HU,IW-33111-HU,True,simple_product,
product_template_iw_33111_ma,M. CINTURONES P/DAMA MAGENTA,IW-33111-MA,IW-33111-MA,True,simple_product,
product_template_ma_0250_gdbk,M. CINTURONES P/DAMA GDBK,MA-0250-GDBK,MA-0250-GDBK,True,simple_product,
product_template_ma_0250_gdbl,M. CINTURONES P/DAMA GDBL,MA-0250-GDBL,MA-0250-GDBL,True,simple_product,
product_template_ma_0250_gdcm,M. CINTURONES P/DAMA GDCM,MA-0250-GDCM,MA-0250-GDCM,True,simple_product,
product_template_ma_0250_gdw,M. CINTURONES P/DAMA GDW,MA-0250-GDW,MA-0250-GDW,True,simple_product,
product_template_ma_0250_gdyl,M. CINTURONES P/DAMA GDYL,MA-0250-GDYL,MA-0250-GDYL,True,simple_product,
product_template_ma_0250_gdlb,M. CINTURONES P/DAMA GDLB,MA-0250-GDLB,MA-0250-GDLB,True,simple_product,
product_template_iw_3342hx2584_bg,M. CINTURONES P/DAMA BEIGE,IW-3342HX2584-BG,IW-3342HX2584-BG,True,simple_product,
product_template_iw_38200ago_bur,M. CINTURONES P/DAMA BURGUNDY,IW-38200AGO-BUR,IW-38200AGO-BUR,True,simple_product,
product_template_hw_3341_ba,M. CINTURONES P/DAMA BACK,HW-3341-BA,HW-3341-BA,True,simple_product,
product_template_iw_1929_gl,M. CINTURONES P/DAMA GOLD,IW-1929-GL,IW-1929-GL,True,simple_product,
product_template_iw_2289d086_bu,M. CINTURONES P/DAMA BUTTER,IW-2289D086-BU,IW-2289D086-BU,True,simple_product,
