source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
FB-2066,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,2066,Value not found in Odoo catalog
DNA-020,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,020,Value not found in Odoo catalog
N-01885,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,01885,Value not found in Odoo catalog
FN-0356,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,0356,Value not found in Odoo catalog
FN-0696,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,0696,Value not found in Odoo catalog
PB-1333,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1333,Value not found in Odoo catalog
BR-1068,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1068,Value not found in Odoo catalog
ON-6849,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,6849,Value not found in Odoo catalog
PB-1937,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1937,Value not found in Odoo catalog
MBR-5528,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,5528,Value not found in Odoo catalog
N-0424,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,0424,Value not found in Odoo catalog
NB-3963,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,3963,Value not found in Odoo catalog
CN-2512,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,2512,Value not found in Odoo catalog
FN-016,,CINTURON P/DAMA VARIOS MODELOS,Talla,016,Value not found in Odoo catalog
PB-1728,,M. ACCESORIOS PULSERA P/DAMA VARIOS MODELOS,Talla,1728,Value not found in Odoo catalog
HN-8864,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,8864,Value not found in Odoo catalog
CN-4107,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,4107,Value not found in Odoo catalog
FN-0726,,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,Talla,0726,Value not found in Odoo catalog
CARTERA-2635,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,2635,Value not found in Odoo catalog
CART-CRZ-668,,M. CARTERA CRUZADA P/MODELOS VARIOS MODELOS,Talla,668,Value not found in Odoo catalog
CART-IVK-COLE-01,,M. CARTERA P/DAMA VARIOS MODELOS IVK COLLECTION,Talla,01,Value not found in Odoo catalog
KAN-ANHOA/24,,Terno KAN-ANHOA,Talla,24,Value not found in Odoo catalog
KAN-ANHOA/25,,Terno KAN-ANHOA,Talla,25,Value not found in Odoo catalog
KAN-ANHOA/26,,Terno KAN-ANHOA,Talla,26,Value not found in Odoo catalog
KAN-ANHOA/27,,Terno KAN-ANHOA,Talla,27,Value not found in Odoo catalog
ARM-001,,ARMADOR PARA TERNO BRUNO CASSINI,Talla,001,Value not found in Odoo catalog
Z-1759SIUK-AZ/37,,Terno Z-1759SIUK-AZ,Talla,37,Value not found in Odoo catalog
Z-1759SIUK-AZ/39,,Terno Z-1759SIUK-AZ,Talla,39,Value not found in Odoo catalog
Z-3021LAMO-NE/37,,Terno Z-3021LAMO-NE,Talla,37,Value not found in Odoo catalog
Z-5325CLAPE-MO/37,,Terno Z-5325CLAPE-MO,Talla,37,Value not found in Odoo catalog
Z-5325CLAPE-MO/39,,Terno Z-5325CLAPE-MO,Talla,39,Value not found in Odoo catalog
Z-5366CLAPE-ZE/37,,Terno Z-5366CLAPE-ZE,Talla,37,Value not found in Odoo catalog
Z-2836-DFV-NA/37,,Terno Z-2836-DFV-NA,Talla,37,Value not found in Odoo catalog
Z-2839DFV-GD/39,,Terno Z-2839DFV-GD,Talla,39,Value not found in Odoo catalog
Z-2839DFV-GD/37,,Terno Z-2839DFV-GD,Talla,37,Value not found in Odoo catalog
Z-2839DFV-NE/37,,Terno Z-2839DFV-NE,Talla,37,Value not found in Odoo catalog
Z-2839DFV-NE/39,,Terno Z-2839DFV-NE,Talla,39,Value not found in Odoo catalog
GAF-04,,GAFAS P/DAMAS VARIOS MODELOS,Talla,04,Value not found in Odoo catalog
CORREA-NE-1119,,CORREAS CINT CUE NAP # 35 NEGRO,Talla,1119,Value not found in Odoo catalog
Z-SD913DAVI-RD/39,,Terno Z-SD913DAVI-RD,Talla,39,Value not found in Odoo catalog
Z-SD391DAVI-BL/37,,Terno Z-SD391DAVI-BL,Talla,37,Value not found in Odoo catalog
Z-1475C-N/37,,Terno Z-1475C-N,Talla,37,Value not found in Odoo catalog
CNE-3146,,ACCESORIOS P/DAMA VARIOS MODELOS - CADENA,Talla,3146,Value not found in Odoo catalog
302708-SL,,ACCESORIOS P/DAMA VARIOS MODELOS - ARETES,Talla,SL,Value not found in Odoo catalog
CNE-3119,,ACCESORIOS P/DAMA VARIOS MODELOS - CADENA,Talla,3119,Value not found in Odoo catalog
DFN-0181,,ACCESORIOS P/DAMA VARIOS MODELOS - COLLAR,Talla,0181,Value not found in Odoo catalog
LE-5300,,ACCESORIOS P/DAMA VARIOS MODELOS - ARETES,Talla,5300,Value not found in Odoo catalog
N-50026,,ACCESORIOS P/DAMA VARIOS MODELOS - ARETES,Talla,50026,Value not found in Odoo catalog
LE-5322,,ACCESORIOS P/DAMA VARIOS MODELOS - ARETES,Talla,5322,Value not found in Odoo catalog
LE-5328,,ACCESORIOS P/DAMA VARIOS MODELOS - ARETES,Talla,5328,Value not found in Odoo catalog
ON-6154,,ACCESORIOS P/DAMA VARIOS MODELOS - CADENA,Talla,6154,Value not found in Odoo catalog
2536-KAN-TALLY/27,,Terno 2536-KAN-TALLY,Talla,27,Value not found in Odoo catalog
2536-KAN-TALLY/26,,Terno 2536-KAN-TALLY,Talla,26,Value not found in Odoo catalog
2536-KAN-TALLY/25,,Terno 2536-KAN-TALLY,Talla,25,Value not found in Odoo catalog
2536-KAN-TALLY/24,,Terno 2536-KAN-TALLY,Talla,24,Value not found in Odoo catalog
2536-KAN-TALLY/23,,Terno 2536-KAN-TALLY,Talla,23,Value not found in Odoo catalog
