odoo_ext_id,tmpl_id,tmpl_name,variant_values,reason
__export__.product_product_88486_1057c831,__import__.product_template_a151_82bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (a151_82bg),Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_85879_24a3b88d,__import__.product_template_17604bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI DARK BLUE 32-33,"Talla: 18,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85883_6fd66022,__import__.product_template_17604bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI DARK BLUE 32-33,"Talla: 19.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_88753_d9973b79,__import__.product_template_ce_baj_15_3915,H. CAMISA P/S BIG SIZE BRUNO CASSINI SKY BLUE 34-35,,Not present in Phase 2 or simple CSV
__export__.product_product_94448_3df8396e,__import__.product_template_150bg_3,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (150bg_3),Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94449_7ec4de9e,__import__.product_template_150bg_3,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (150bg_3),Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_94433_5aa20710,__import__.product_template_hd42_b122bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (hd42_b122bg),Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_94434_6dd8398b,__import__.product_template_hd42_b122bg,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35 (hd42_b122bg),Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_87199_1a53989b,__import__.product_template_a118_82,H. CAMISA P/S BLACK BRUNO CASSINI 34-35,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87206_f2787c2c,__import__.product_template_a118_82,H. CAMISA P/S BLACK BRUNO CASSINI 34-35,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_85998_0e539a3c,__import__.product_template_ht1840_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87503_10ceb409,__import__.product_template_a108_3,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a108_3),"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87321_38be27e3,__import__.product_template_a158_10,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_10),"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87332_da08bf7a,__import__.product_template_a158_10,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_10),"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_87400_4c393dd6,__import__.product_template_a158_4,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (a158_4),,Not present in Phase 2 or simple CSV
__export__.product_product_86090_7eeb91c3,__import__.product_template_ht8811_3,H. CAMISA P/S BLUE BRUNO CASSINI 32-33 (ht8811_3),"Talla: 16,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87391_b32723d7,__import__.product_template_a126_4,H. CAMISA P/S BLUE BRUNO CASSINI 34-35,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87407_4ea586c8,__import__.product_template_a108_4,H. CAMISA P/S BLUE BRUNO CASSINI 34-35 (a108_4),"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87410_e1286059,__import__.product_template_a108_4,H. CAMISA P/S BLUE BRUNO CASSINI 34-35 (a108_4),"Talla: 16,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_88529_35382294,__import__.product_template_a151_82,H. CAMISA P/S BRUNO CASSINI BLACK 34-35,,Not present in Phase 2 or simple CSV
__export__.product_product_88527_49ee7146,__import__.product_template_4s22008_2,H. CAMISA P/S BRUNO CASSINI BLUE PLAID 34-35,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
