DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
008-BLACK-B-BC-2/62;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,5;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-B-BC-2/64;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,25;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-B-BC-2/66;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,44;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-B-BC-2/68;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,7;CASSINI TERNOS - CABALLEROS;1,00;;;;;;;;;;1,00
008-BLACK-B-BC-2/70;TERNO / CABALLERO ;H. TERNO P/CABALLERO BIG SIZE BRUNO CASSINI;Unidad;20230525-CASSINI-TERNOS;243,39;39,79;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-BC-2/46;TERNO / CABALLERO ;TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-23-01-2019 - 01-08-2019;243,39;44,97;CASSINI TERNOS - CABALLEROS;3,00;;;;;;;;;;3,00
008-BLACK-BC-2/48;TERNO / CABALLERO ;TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-23-01-2019 - 01-08-2019;243,39;44,87;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-BC-2/50;TERNO / CABALLERO ;TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-23-01-2019 - 01-08-2019;243,39;44,72;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-BC-2/52;TERNO / CABALLERO ;TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-23-01-2019 - 01-08-2019;243,39;43,83;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-BC-2/54;TERNO / CABALLERO ;TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI;Unidad;IMP-DONYANG-23-01-2019 - 01-08-2019;243,39;43,83;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
