sku,nombre_contifico,codigo_barra,categoria_id,marca_nombre,pvp1,costo,stock_total_contifico,estado_contifico,motivo_exclusion
169-21/BLUE-39,ZAPATO DE HOMBRE BRUNO CASSINI BLUE,169-21/OBLUE-39,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/BLUE-40,ZAPATO DE HOMBRE BRUNO CASSINI BLUE,169-21/OBLUE-40,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/BLUE-41,ZAPATO DE HOMBRE BRUNO CASSINI BLUE,169-21/OBLUE-41,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/COFFEE-7,ZAPATOS P/CABALLERO,169-21/OCOFFEE-7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
169-21/COFFEE-7M,ZAPATOS P/CABALLERO,169-21/OCOFFEE-7M,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
169-21/WHITE-7,ZAPATOS BRUNO CASSINI,169-21/OWHITE-7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/WHITE-7M,ZAPATOS BRUNO CASSINI,169-21/OWHITE-7M,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/WHITE-8,ZAPATOS BRUNO CASSINI,169-21/OWHITE-8,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/WHITE-8M,ZAPATOS BRUNO CASSINI,169-21/OWHITE-8M,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,41.65,0.00,0.00,A,stock_total_0
169-21/WHITE-9,ZAPATOS BRUNO CASSINI,169-21/OWHITE-9,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS CABALLEROS,30.35,0.00,0.00,A,stock_total_0
169-22/BLUE-7,ZAPATOS BRUNO CASSINI,169-22/OBLUE-7,NO8bYP6Nc3mga7j4,CASSINI ZAPATOS PROMOCION,41.65,0.00,0.00,A,stock_total_0
