id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85736_2f3a758a,17605DC-16-S2,17605DC202591602,82.52,0.00
__export__.product_product_85740_c17a406d,17605DC-17-S2,17605DC202591702,82.52,0.00
__export__.product_product_85738_8466936a,17605DC-16.5-S2,17605DC202591652,82.52,0.00
__export__.product_product_85739_6cbfa75b,17605DC-17-S1,17605DC202591701,82.52,0.00
__export__.product_product_85737_23cfba32,17605DC-16.5-S1,17605DC202591651,82.52,0.00
__export__.product_product_85761_2c4e4258,18001-17.5-S2,18001202591752,56.43,0.00
__export__.product_product_85756_695c8ceb,18001-16.5-S1,18001202591651,56.43,0.00
__export__.product_product_85774_414290ea,5010-16.5-S1,5010202591651,56.43,0.00
__export__.product_product_85775_38413b8c,5010-16.5-S2,5010202591652,56.43,0.00
__export__.product_product_85776_69a56777,5010-17-S1,5010202591701,56.43,0.00
__export__.product_product_85781_292d6647,8020-1/M,8020120259M01,104.26,0.00
__export__.product_product_85790_6a8b6b4d,11303-14.5-S1,11303202591451,56.43,0.00
__export__.product_product_85792_9e503d94,11303-15-S1,11303202591501,56.43,0.00
__export__.product_product_85793_4e2c1128,11303-15-S2,11303202591502,56.43,0.00
__export__.product_product_85794_e7c28fc7,11303-15.5-S1,11303202591551,56.43,0.00
__export__.product_product_85795_42ef033d,11303-15.5-S2,11303202591552,56.43,0.00
__export__.product_product_85779_0b059985,5010-17.5-S2,5010202591752,56.43,0.00
__export__.product_product_85777_f7692161,5010-17-S2,5010202591702,56.43,0.00
__export__.product_product_85796_257b4072,11303-16-S1,11303202591601,56.43,0.00
__export__.product_product_85797_8972ed41,11303-16-S2,11303202591602,56.43,0.00
__export__.product_product_85798_df92bd63,11303-16.5-S1,11303202591651,56.43,0.00
__export__.product_product_85799_b4999e15,11303-16.5-S2,11303202591652,56.43,0.00
__export__.product_product_85800_62230ab9,11303-17-S1,11303202591701,56.43,0.00
__export__.product_product_85801_ac4b2803,11303-17-S2,11303202591702,56.43,0.00
__export__.product_product_85803_483d2c56,11303-17.5-S2,11303202591752,56.43,0.00
__export__.product_product_85811_e22c541c,11304-14.5-S1,11304202591451,56.43,0.00
