id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88617_0c2f7ce9,tmpl_id,__import__.product_template_2011_1_f,2011-1-F/XL,20111F20231204,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: XL,73.83,0.00
__export__.product_product_88618_f1a7e590,tmpl_id,__import__.product_template_2011_1_f,2011-1-F/XXL,20111F20231205,H. CAMISA LINO FRENCH SHIRT WHITE BRUNO CASSINI,Talla: XXL,73.83,0.00
__export__.product_product_88621_ee8be7fd,tmpl_id,__import__.product_template_2011_23_f,2011-23-F/L,201123F20231203,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: L,73.83,0.00
__export__.product_product_88620_d97cd381,tmpl_id,__import__.product_template_2011_23_f,2011-23-F/M,201123F20231202,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: M,73.83,0.00
__export__.product_product_88619_79b1c531,tmpl_id,__import__.product_template_2011_23_f,2011-23-F/S,201123F20231201,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: S,73.83,0.00
__export__.product_product_88622_cea55ca9,tmpl_id,__import__.product_template_2011_23_f,2011-23-F/XL,201123F20231204,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: XL,73.83,0.00
__export__.product_product_88623_bccbef0c,tmpl_id,__import__.product_template_2011_23_f,2011-23-F/XXL,201123F20231205,H. CAMISA LINO FRENCH SHIRT BLUE BRUNO CASSINI,Talla: XXL,73.83,0.00
__export__.product_product_88626_ef8c1559,tmpl_id,__import__.product_template_2011_55_f,2011-55-F/L,201155F231203,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: L,73.83,0.00
__export__.product_product_88625_84781aa3,tmpl_id,__import__.product_template_2011_55_f,2011-55-F/M,201155F231202,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: M,73.83,0.00
__export__.product_product_88624_ae9d26f4,tmpl_id,__import__.product_template_2011_55_f,2011-55-F/S,201155F231201,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: S,73.83,0.00
__export__.product_product_88627_6426e70b,tmpl_id,__import__.product_template_2011_55_f,2011-55-F/XL,201155F231204,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: XL,73.83,0.00
__export__.product_product_88628_022c1be5,tmpl_id,__import__.product_template_2011_55_f,2011-55-F/XXL,201155F231205,H. CAMISA LINO FRENCH SHIRT OLIVE BRUNO CASSINI,Talla: XXL,73.83,0.00
__export__.product_product_88606_e8fbd9d0,tmpl_id,__import__.product_template_cm0044wht_f,CM0044WHT-F/M,C0044WHF231202,H. CAMISA FRENCH SHIRT WHITE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88633_9e1dea83,tmpl_id,__import__.product_template_cm0042mbu_f,CM0042MBU-F/XXL,C0042MBF231205,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),Talla: XXL,47.74,0.00
__export__.product_product_88632_ba176533,tmpl_id,__import__.product_template_cm0042mbu_f,CM0042MBU-F/XL,C0042MBF231204,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),Talla: XL,47.74,0.00
__export__.product_product_88629_b4447cee,tmpl_id,__import__.product_template_cm0042mbu_f,CM0042MBU-F/S,C0042MBF231201,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),Talla: S,47.74,0.00
__export__.product_product_88630_6faf16ed,tmpl_id,__import__.product_template_cm0042mbu_f,CM0042MBU-F/M,C0042MBF231202,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),Talla: M,47.74,0.00
__export__.product_product_88631_c6ddc573,tmpl_id,__import__.product_template_cm0042mbu_f,CM0042MBU-F/L,C0042MBF231203,H. CAMISA FRENCH SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_f),Talla: L,47.74,0.00
__export__.product_product_88638_db0dc7f6,tmpl_id,__import__.product_template_cm0044mbu_f,CM0044MBU-F/XXL,C0044MBF231205,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88637_870c6e0e,tmpl_id,__import__.product_template_cm0044mbu_f,CM0044MBU-F/XL,C0044MBF231204,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88634_b4338d85,tmpl_id,__import__.product_template_cm0044mbu_f,CM0044MBU-F/S,C0044MBF231201,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88635_d82c2246,tmpl_id,__import__.product_template_cm0044mbu_f,CM0044MBU-F/M,C0044MBF231202,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88636_d0bbb265,tmpl_id,__import__.product_template_cm0044mbu_f,CM0044MBU-F/L,C0044MBF231203,H. CAMISA FRENCH SHIRT PURPLE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88602_92792c56,tmpl_id,__import__.product_template_cm0042dgr_f,CM0042DGR-F/L,C0042DGF231203,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88604_1bdeffbd,tmpl_id,__import__.product_template_cm0042dgr_f,CM0042DGR-F/XXL,C0042DGF231205,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88590_a9f1eba3,tmpl_id,__import__.product_template_cm0042dbu_f,CM0042DBU-F/S,C0042DBF231201,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88594_0cb8274f,tmpl_id,__import__.product_template_cm0042dbu_f,CM0042DBU-F/XXL,C0042DBF231205,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88593_83d82c0d,tmpl_id,__import__.product_template_cm0042dbu_f,CM0042DBU-F/XL,C0042DBF231204,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88591_a2cdfec5,tmpl_id,__import__.product_template_cm0042dbu_f,CM0042DBU-F/M,C0042DBF231202,H. CAMISA FRENCH SHIRT DK. BLUE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88601_93a4fbce,tmpl_id,__import__.product_template_cm0042dgr_f,CM0042DGR-F/M,C0042DGF231202,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88600_de2d6945,tmpl_id,__import__.product_template_cm0042dgr_f,CM0042DGR-F/S,C0042DGF231201,H. CAMISA FRENCH SHIRT MINT BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88641_58235fb5,tmpl_id,__import__.product_template_2011_55_n,2011-55-N/L,201155N231203,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: L,73.83,0.00
