Template External ID,Template Name,Source Variant External ID,Variant Attributes Key,Internal Reference,Barcode,Sales Price,Cost,Weight,Original Product Values
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_52,Color=Verde|Marca=Bruno Cassini|Talla=52,23E4246-4-PAT/52,23E424604202552PT,173.83,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_50,Color=Verde|Marca=Bruno Cassini|Talla=50,23E4246-4-PAT/50,23E424604202550PT,173.83,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_48,Color=Verde|Marca=Bruno Cassini|Talla=48,23E4246-4-PAT/48,23E424604202548PT,173.83,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_46,Color=Verde|Marca=Bruno Cassini|Talla=46,23E4246-4-PAT/46,23E424604202546PT,173.83,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_54,Color=Verde|Marca=Bruno Cassini|Talla=54,23E4246-4-PAT/54,23E424604202554PT,173.83,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_56,Color=Verde|Marca=Bruno Cassini|Talla=56,23E4246-4-PAT/56,23E424604202556PT,173.83,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4_pat,Leva 23E4246-4-PAT,adams_23e4246_4_pat_58,Color=Verde|Marca=Bruno Cassini|Talla=58,23E4246-4-PAT/58,23E424604202558PT,173.83,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_46,Color=Verde|Marca=Bruno Cassini|Talla=46,23E4246-4/46,23E424604202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_48,Color=Verde|Marca=Bruno Cassini|Talla=48,23E4246-4/48,23E424604202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_50,Color=Verde|Marca=Bruno Cassini|Talla=50,23E4246-4/50,23E424604202550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_60,Color=Verde|Marca=Bruno Cassini|Talla=60,23E4246-4/60,23E424604202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_58,Color=Verde|Marca=Bruno Cassini|Talla=58,23E4246-4/58,23E424604202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_56,Color=Verde|Marca=Bruno Cassini|Talla=56,23E4246-4/56,23E424604202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_54,Color=Verde|Marca=Bruno Cassini|Talla=54,23E4246-4/54,23E424604202554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_4,Leva 23E4246-4,adams_23e4246_4_52,Color=Verde|Marca=Bruno Cassini|Talla=52,23E4246-4/52,23E424604202552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Verde"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_50,Marca=Bruno Cassini|Talla=50,23E4246-12/50,23E424612202550,165.13,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_48,Marca=Bruno Cassini|Talla=48,23E4246-12/48,23E424612202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_46,Marca=Bruno Cassini|Talla=46,23E4246-12/46,23E424612202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_60,Marca=Bruno Cassini|Talla=60,23E4246-12/60,23E424612202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_56,Marca=Bruno Cassini|Talla=56,23E4246-12/56,23E424612202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_58,Marca=Bruno Cassini|Talla=58,23E4246-12/58,23E424612202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_54,Marca=Bruno Cassini|Talla=54,23E4246-12/54,23E424612202554,165.13,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12,Leva 23E4246-12,adams_23e4246_12_52,Marca=Bruno Cassini|Talla=52,23E4246-12/52,23E424612202552,165.13,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_56,Marca=Bruno Cassini|Talla=56,23E4246-12-PAT/56,23E424612202556PT,173.83,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_58,Marca=Bruno Cassini|Talla=58,23E4246-12-PAT/58,23E424612202558PT,173.83,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_54,Marca=Bruno Cassini|Talla=54,23E4246-12-PAT/54,23E424612202554PT,173.83,0.00,0.0,"Talla:54,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_52,Marca=Bruno Cassini|Talla=52,23E4246-12-PAT/52,23E424612202552PT,173.83,0.00,0.0,"Talla:52,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_50,Marca=Bruno Cassini|Talla=50,23E4246-12-PAT/50,23E424612202550PT,173.83,0.00,0.0,"Talla:50,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_46,Marca=Bruno Cassini|Talla=46,23E4246-12-PAT/46,23E424612202546PT,173.83,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_12_pat,Leva 23E4246-12-PAT,adams_23e4246_12_pat_48,Marca=Bruno Cassini|Talla=48,23E4246-12-PAT/48,23E424612202548PT,173.83,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_vestido_ela_estampado,VESTIDO ELA ESTAMPADO,adams_ve_ela_stp_m,Talla=M,VE-ELA-STP-M,VE-ELA-STP-M,198.17,0.00,0.0,Talla:M
adams_tmpl_vestido_ela_estampado,VESTIDO ELA ESTAMPADO,adams_ve_ela_stp_l,Talla=L,VE-ELA-STP-L,VE-ELA-STP-L,198.17,0.00,0.0,Talla:L
adams_tmpl_vestido_ela_lila,VESTIDO ELA LILA,adams_ve_ela_li_l,Talla=L,VE-ELA-LI-L,VE-ELA-LI-L,156.43,0.00,0.0,Talla:L
