Internal Reference,name_odoo,qty_available,barcode
11701-15.5-S2,Camisa 11701,0.0,117012022011552
11701-16.5-S1,Camisa 11701,0.0,117012022011651
11701-16.5-S2,Camisa 11701,0.0,117012022011652
11701-17-S1,Camisa 11701,0.0,117012022011701
11701-17-S2,Camisa 11701,0.0,117012022011702
11701DC-15.5-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281551
11701DC-15.5-S2,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281552
11701DC-16-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281601
11701DC-16-S2,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281602
11701DC-17-S1,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281701
11701DC-17-S2,H. CAMISA D/P BRUNO CASSINI WHITE 34-35 (11701dc),0.0,11701D202281702
11704-14.5-S1,Camisa 11704,0.0,11704202591451
11704-15-S1,Camisa 11704,0.0,11704202591501
11704-15-S2,Camisa 11704,0.0,11704202591502
11704-15.5-S1,Camisa 11704,0.0,11704202591551
11704-15.5-S2,Camisa 11704,0.0,11704202591552
11704-16-S1,Camisa 11704,0.0,11704202591601
11704-16-S2,Camisa 11704,0.0,11704202591602
11704-16.5-S1,Camisa 11704,0.0,11704202591651
11704-16.5-S2,Camisa 11704,0.0,11704202591652
11704-17-S1,Camisa 11704,0.0,11704202591701
11704-17-S2,Camisa 11704,0.0,11704202591702
11704-17.5-S2,Camisa 11704,0.0,11704202591752
117152,VESTIDO LARGO ALEX EVENING,0.0,117152
12-0051,BLUSAS STRECH NINA KIDS&CO,0.0,12-0051
12-3954,COLLAR,0.0,12-3954
12001-15.5-S1,Camisa 12001,0.0,120012022011551
12001-15.5-S2,Camisa 12001,0.0,120012022011552
12001-16.5-S1,Camisa 12001,0.0,120012022011651
12001-16.5-S2,Camisa 12001,0.0,120012022011652
12001-17-S1,Camisa 12001,0.0,120012022011701
12001-17-S2,Camisa 12001,0.0,120012022011702
12001BG-17.5-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35,0.0,12001B202281751
12001BG-17.5-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35,0.0,12001B202281752
12001BG-19-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35,0.0,12001B202281901
12001BG-19-S2,H. CAMISA P/S BIG SIZE BRUNO CASSINI WHITE 34-35,0.0,12001B202281902
12332WM,VESTIDO LARGO MORGAN & CO,0.0,12332WM
125-0406,SWETER P/NINO 10-18,0.0,125-0406
13PW0103,PANTALON KENNETH COLE,0.0,13PW0103
14038,M. GAFAS CHANEL VARIOS MODELOS,0.0,14038
14040,M. GAFAS CHANEL VARIOS MODELOS,0.0,14040
142106,CINTA 110V - 3000K DE 10 MTS P/ROLLO,0.0,142106
142107,CINTA 3M NEGRA,0.0,142107
142828,CINTA ADHESIVA DOBLE FAST,0.0,142828
1431,VESTIDO LARGO DAVE & JHONNY,0.0,1431
14C-CPT-BN-14.5-S1,H. CAMISA P/CABALLERO P/S NAVY 34-35 BRUNO CASSINI,0.0,14CPT2021BN1451
14C-CPT-BN-15.5-S1,H. CAMISA P/CABALLERO P/S NAVY 34-35 BRUNO CASSINI,0.0,14CPT2021BN1551
14C-CPT-BN-15.5-S2,H. CAMISA P/CABALLERO P/S NAVY 34-35 BRUNO CASSINI,0.0,14CPT2021BN1552
1509-14.5-S1,Camisa 1509,0.0,1509202591451
1509-15-S1,Camisa 1509,0.0,1509202591501
1509-15-S2,Camisa 1509,0.0,1509202591502
1509-15.5-S1,Camisa 1509,0.0,1509202591551
1509-15.5-S2,Camisa 1509,0.0,1509202591552
1509-16-S1,Camisa 1509,0.0,1509202591601
1509-16-S2,Camisa 1509,0.0,1509202591602
1509-16.5-S1,Camisa 1509,0.0,1509202591651
1509-16.5-S2,Camisa 1509,0.0,1509202591652
1509-17-S1,Camisa 1509,0.0,1509202591701
1509-17-S2,Camisa 1509,0.0,1509202591702
1509-17.5-S2,Camisa 1509,0.0,1509202591752
1611-10/46,Leva 1611-10,0.0,16111020230346
1611-10/48,Leva 1611-10,0.0,16111020230348
1611-10/50,Leva 1611-10,0.0,16111020230350
1611-10/52,Leva 1611-10,0.0,16111020230352
1611-10/54,Leva 1611-10,0.0,16111020230354
1611-10/56,Leva 1611-10,0.0,16111020230356
1611-10/58,Leva 1611-10,0.0,16111020230358
1611-10/60,Leva 1611-10,0.0,16111020230360
1611-11/46,Leva 1611-11,0.0,16111120230346
1611-11/48,Leva 1611-11,0.0,16111120230348
1611-11/50,Leva 1611-11,0.0,16111120230350
1611-11/52,Leva 1611-11,0.0,16111120230352
1611-11/54,Leva 1611-11,0.0,16111120230354
1611-11/56,Leva 1611-11,0.0,16111120230356
1611-11/58,Leva 1611-11,0.0,16111120230358
1611-11/60,Leva 1611-11,0.0,16111120230360
1611-2BC-2/46,Terno 1611-2BC-2,0.0,161122023034628
