Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
CAMISA,CAMISA,11303-16-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,5.00,52.80
CAMISA,CAMISA,11303-16.5-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,7.00,73.92
CAMISA,CAMISA,11303-16.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,10.00,105.60
CAMISA,CAMISA,11303-17-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,7.00,73.92
CAMISA,CAMISA,11303-17-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,5.00,52.80
CAMISA,CAMISA,11303-17.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,5.00,52.80
CAMISA,CAMISA,11304-14.5-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,6.00,63.36
CAMISA,CAMISA,11304-15-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,1.00,10.56
CAMISA,CAMISA,11304-15-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,2.00,21.12
CAMISA,CAMISA,11304-15.5-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,3.00,31.68
CAMISA,CAMISA,11304-15.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,5.00,52.80
CAMISA,CAMISA,11304-16-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,1.00,10.56
CAMISA,CAMISA,11304-16.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,6.00,63.36
CAMISA,CAMISA,11304-17-S1,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,1.00,10.56
CAMISA,CAMISA,11304-17-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,2.00,21.12
CAMISA,CAMISA,11304-17.5-S2,20260123-YIWU-CASSINI,H. CAMISA P/S BRUNO CASSINI BLUE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,10.56,0.00,2.00,21.12
CAMISA,CAMISA,11701-15.5-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.29,0.00,1.00,9.29
CAMISA,CAMISA,11701-16.5-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.27,0.00,12.00,111.24
CAMISA,CAMISA,11701-17-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.27,0.00,1.00,9.27
