product_tmpl_id/id,Internal Reference,Name,Variant Values,Sales Price,Cost
__import__.product_template_pant_capri_black,PANT-CAPRI BLACK-M,PANTALON CON ELASTICO CAPRI NEGRO,Talla: M,65.13,0.00
__import__.product_template_pant_capri_black,PANT-CAPRI BLACK-S,PANTALON CON ELASTICO CAPRI NEGRO,Talla: S,65.13,0.00
__import__.product_template_pant_capri_blue,PANT-CAPRI BLUE-L,PANTALON CON ELASTICO CAPRI AZUL,Talla: L,65.13,0.00
__import__.product_template_pant_capri_blue,PANT-CAPRI BLUE-M,PANTALON CON ELASTICO CAPRI AZUL,Talla: M,65.13,0.00
__import__.product_template_pant_capri_blue,PANT-CAPRI BLUE-S,PANTALON CON ELASTICO CAPRI AZUL,Talla: S,65.13,0.00
__import__.product_template_pant_prisila,PANT-PRISILA-S,PANTALON PRISILA,Talla: S,33.83,0.00
__import__.product_template_8500dc,8500DC-16-S1,H. CAMISA D/P WHITE BRUNO CASSINI 32-33,"Talla: 16, Manga de Camisa: S1 - 32/33",82.52,0.00
__import__.product_template_8500dc,8500DC-16-S2,H. CAMISA D/P WHITE BRUNO CASSINI 32-33,"Talla: 16, Manga de Camisa: S2 - 34/35",82.52,0.00
__import__.product_template_8500dc,8500DC-17-S1,H. CAMISA D/P WHITE BRUNO CASSINI 32-33,"Talla: 17, Manga de Camisa: S1 - 32/33",82.52,0.00
__import__.product_template_8500dc,8500DC-17-S2,H. CAMISA D/P WHITE BRUNO CASSINI 32-33,"Talla: 17, Manga de Camisa: S2 - 34/35",82.52,0.00
__import__.product_template_17601bg,17601BG-17.5-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 17.5, Manga de Camisa: S1 - 32/33",73.83,0.00
__import__.product_template_17601bg,17601BG-17.5-S2,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 17.5, Manga de Camisa: S2 - 34/35",73.83,0.00
__import__.product_template_17601bg,17601BG-18-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 18, Manga de Camisa: S1 - 32/33",73.83,0.00
__import__.product_template_17601bg,17601BG-18-S2,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 18, Manga de Camisa: S2 - 34/35",73.83,0.00
__import__.product_template_17601bg,17601BG-18.5-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 18.5, Manga de Camisa: S1 - 32/33",73.83,0.00
__import__.product_template_17601bg,17601BG-18.5-S2,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,"Talla: 18.5, Manga de Camisa: S2 - 34/35",73.83,0.00
