sku,nombre_contifico,problema,sugerencia,raw_categoria_id,raw_marca_nombre,raw_codigo_barra
30201-16-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491602
A156-1-15-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1561202491501
30201-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491752
30201-17-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491702
30201-17-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491701
30201-16.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491652
30201-16.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,30201202491651
A151-1-15.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491551
A151-1-15.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491552
A151-1-16.5-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491651
A151-1-16.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491652
A151-1-17-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1511202491701
A108-1-16-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1081202491601
A108-1-16-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1081202491602
A108-1-17-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1081202491702
A163-1-17-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1631202491701
A163-1-15-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1631202491502
A163-1-15-S1,H. CAMISA P/S WHITE BRUNO CASSINI 32-33,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1631202491501
A163-1-15.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1631202491552
A108-1-17.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1081202491752
A108-1-15.5-S2,H. CAMISA P/S WHITE BRUNO CASSINI 34-35,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CASSINI CAMISAS CABALLEROS,A1081202491552
LBPC-B04-101S-SL/XL,H. CAMISA P/H M/L SALMON LONG BEACH,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,LONG BEACH CAMISAS,743682046682
LBPC-B04-101S-SL/S,H. CAMISA P/H M/L SALMON LONG BEACH,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,LONG BEACH CAMISAS,743682046651
LBPC-B04-101S-SL/M,H. CAMISA P/H M/L SALMON LONG BEACH,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,LONG BEACH CAMISAS,743682046668
LBPC-B04-101S-BL/M,H. CAMISA P/H M/L BLACK LONG BEACH,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,LONG BEACH CAMISAS,743682046545
